Domain,Method,Path,Controller/action,Required middleware,Required capability,Required headers,row_version / mutation contract,Idempotency-Key,Feature flag/gate,Day-1 relevance,customer-web status,staff-web status,Gap severity,Required work,Source paths
Auth / Identity / RBAC,POST,/api/v1/auth/customer/login,CustomerAuthController@login,Throttle or auth middleware per routes/api/auth.php,staff: StaffApiKey/refresh session where applicable,X-Customer-Token or X-Staff-Key after login,No,No route idempotency marker,none,YES,DONE,NOT_APPLICABLE,LOW,Add/maintain live session restore and expiry smoke.,routes/api/auth.php; customer-web/src/lib/api/sdk-client.ts; staff-web/src/shared/api/http.ts
Auth / Identity / RBAC,GET,/api/v1/auth/customer/me,CustomerAuthController@me,Throttle or auth middleware per routes/api/auth.php,staff: StaffApiKey/refresh session where applicable,X-Customer-Token or X-Staff-Key after login,No,No route idempotency marker,none,YES,DONE,NOT_APPLICABLE,LOW,Add/maintain live session restore and expiry smoke.,routes/api/auth.php; customer-web/src/lib/api/sdk-client.ts; staff-web/src/shared/api/http.ts
Auth / Identity / RBAC,POST,/api/v1/auth/customer/refresh,CustomerAuthController@refresh,Throttle or auth middleware per routes/api/auth.php,staff: StaffApiKey/refresh session where applicable,X-Customer-Token or X-Staff-Key after login,No,No route idempotency marker,none,YES,DONE,NOT_APPLICABLE,LOW,Add/maintain live session restore and expiry smoke.,routes/api/auth.php; customer-web/src/lib/api/sdk-client.ts; staff-web/src/shared/api/http.ts
Auth / Identity / RBAC,POST,/api/v1/auth/customer/logout,CustomerAuthController@logout,Throttle or auth middleware per routes/api/auth.php,staff: StaffApiKey/refresh session where applicable,X-Customer-Token or X-Staff-Key after login,No,No route idempotency marker,none,YES,DONE,NOT_APPLICABLE,LOW,Add/maintain live session restore and expiry smoke.,routes/api/auth.php; customer-web/src/lib/api/sdk-client.ts; staff-web/src/shared/api/http.ts
Auth / Identity / RBAC,POST,/api/v1/auth/staff/login,StaffAuthController@login,Throttle or auth middleware per routes/api/auth.php,staff: StaffApiKey/refresh session where applicable,X-Customer-Token or X-Staff-Key after login,No,No route idempotency marker,none,YES,NOT_APPLICABLE,DONE,LOW,Add/maintain live session restore and expiry smoke.,routes/api/auth.php; customer-web/src/lib/api/sdk-client.ts; staff-web/src/shared/api/http.ts
Auth / Identity / RBAC,GET,/api/v1/auth/staff/me,StaffAuthController@me,Throttle or auth middleware per routes/api/auth.php,staff: StaffApiKey/refresh session where applicable,X-Customer-Token or X-Staff-Key after login,No,No route idempotency marker,none,YES,NOT_APPLICABLE,DONE,LOW,Add/maintain live session restore and expiry smoke.,routes/api/auth.php; customer-web/src/lib/api/sdk-client.ts; staff-web/src/shared/api/http.ts
Auth / Identity / RBAC,POST,/api/v1/auth/staff/refresh,StaffAuthController@refresh,Throttle or auth middleware per routes/api/auth.php,staff: StaffApiKey/refresh session where applicable,X-Customer-Token or X-Staff-Key after login,No,No route idempotency marker,none,YES,NOT_APPLICABLE,DONE,LOW,Add/maintain live session restore and expiry smoke.,routes/api/auth.php; customer-web/src/lib/api/sdk-client.ts; staff-web/src/shared/api/http.ts
Auth / Identity / RBAC,POST,/api/v1/auth/staff/logout,StaffAuthController@logout,Throttle or auth middleware per routes/api/auth.php,staff: StaffApiKey/refresh session where applicable,X-Customer-Token or X-Staff-Key after login,No,No route idempotency marker,none,YES,NOT_APPLICABLE,DONE,LOW,Add/maintain live session restore and expiry smoke.,routes/api/auth.php; customer-web/src/lib/api/sdk-client.ts; staff-web/src/shared/api/http.ts
Customer menu/catalog,GET,/api/v1/menu/categories,MenuCatalogController@categories,none,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,none,YES,DONE,NOT_APPLICABLE,LOW,Keep browse default-on.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Customer menu/catalog,GET,/api/v1/menu/items,MenuCatalogController@items,none,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,none,YES,DONE,NOT_APPLICABLE,LOW,Keep browse default-on.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Customer menu/catalog,GET,/api/v1/menu/items/{id},MenuCatalogController@show,none,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,menu detail FE flag default true,YES,DONE,NOT_APPLICABLE,LOW,Verify item detail UI and empty state.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Customer preorder,POST,/api/v1/menu/preorder/preview,MenuCatalogController@previewPreorder,none,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,Recommended by adapter,NEXT_PUBLIC_FEATURE_PREORDER,NO,GATED/DONE,NOT_APPLICABLE,LOW,Gated preview UI and tests added; run live UAT before enabling rollout.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts; customer-web/src/features/preorder/api.test.ts; customer-web/src/features/preorder/preorder-panel.test.tsx
Loyalty,GET,/api/v1/me/loyalty,LoyaltySummaryController@show,CustomerOrStaffMiddleware,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,NEXT_PUBLIC_FEATURE_ACCOUNT_BENEFITS,NO,GATED/PARTIAL,NOT_APPLICABLE,MEDIUM,Complete gated wallet UI/live proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Vouchers/promotions,GET,/api/v1/me/vouchers,BenefitsController@vouchers,CustomerOrStaffMiddleware,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,NEXT_PUBLIC_FEATURE_ACCOUNT_BENEFITS,NO,GATED/PARTIAL,NOT_APPLICABLE,MEDIUM,Complete gated voucher wallet UI/live proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
